candidate_id,name,party,age,education
147,Osha Sehgal,AAP,38,PhD
148,Chandani Kakar,BJP,68,Graduate
149,Zaitra Bose,Regional Party,43,Postgraduate
150,Eshana Wagle,AAP,40,Postgraduate
151,Gagan Kibe,BJP,51,12th Pass
152,Devika Kara,Regional Party,62,Graduate
153,Hardik Nair,AAP,32,12th Pass
154,Samarth Bhatnagar,Regional Party,29,PhD
155,William Sani,Regional Party,25,PhD
156,Triveni Mahajan,Regional Party,47,PhD
157,Sathvik Swamy,Independent,32,PhD
158,Manan Kanda,INC,29,PhD
159,Turvi Dutt,Independent,60,Graduate
160,Nicholas Mandal,AAP,45,PhD
161,Varsha Mody,AAP,70,Graduate
162,Ijaya Bhagat,INC,45,12th Pass
163,Anika Bath,Regional Party,57,12th Pass
164,Vrinda Barad,INC,32,12th Pass
165,Robert Gala,Independent,57,PhD
166,Nitesh Radhakrishnan,Regional Party,69,12th Pass
167,Gayathri Dar,BJP,56,Graduate
168,Ayushman Memon,AAP,72,12th Pass
169,Laban Dugar,Regional Party,27,Graduate
170,Diya Bera,BJP,44,12th Pass
171,Yatan Garg,INC,36,12th Pass
172,Madhavi Grover,Independent,41,12th Pass
173,Matthew Majumdar,Regional Party,71,Postgraduate
174,Henry Rau,AAP,61,Postgraduate
175,Anmol Ratta,Independent,43,PhD
176,Hemang Prakash,BJP,53,Graduate
177,Garima Kumar,Independent,37,Graduate
178,Charita Luthra,Independent,70,12th Pass
179,Ronith Kota,AAP,56,PhD
180,Ekansh Prashad,Independent,31,12th Pass
181,Liam Tak,BJP,33,Postgraduate
182,Gaurangi Kashyap,INC,26,Postgraduate
183,Henry Vala,AAP,36,12th Pass
184,Hemani Mane,Regional Party,40,Graduate
185,Garima Brar,AAP,63,12th Pass
186,Vedika Palla,Regional Party,46,Graduate
187,Guneet Sahota,AAP,60,PhD
188,Rudra Shroff,INC,74,12th Pass
189,Ranveer Sen,INC,71,PhD
190,Anjali Oommen,BJP,58,12th Pass
191,Suhani Muni,AAP,32,12th Pass
192,Udyati Garg,INC,58,12th Pass
193,Urvashi Bath,Independent,57,PhD
194,Faras D’Alia,AAP,66,PhD
195,Tanay Mistry,Regional Party,26,Postgraduate
196,Fariq Chacko,BJP,58,PhD
197,Indali Dhillon,AAP,35,Postgraduate
198,Widisha Golla,Independent,63,Postgraduate
199,Zehaan Suresh,Independent,72,12th Pass
200,Gunbir Jayaraman,Regional Party,28,Postgraduate
201,Aditya Parekh,Independent,27,12th Pass
202,Osha Mittal,Regional Party,48,12th Pass
203,Hemal Dua,Independent,32,Postgraduate
204,Samesh Bajaj,INC,33,Graduate
205,Owen Ahuja,AAP,43,Postgraduate
206,Yauvani Saran,INC,55,PhD
207,Aishani Doctor,BJP,66,Graduate
208,Umang Korpal,Independent,47,12th Pass
209,Victor Chawla,Independent,33,12th Pass
210,Arya Luthra,Regional Party,59,Postgraduate
211,Ubika Dasgupta,Regional Party,26,12th Pass
212,Simon Halder,INC,58,PhD
213,Harshil Chada,AAP,54,Graduate
214,Rudra Ramaswamy,Regional Party,72,12th Pass
215,Saksham Datta,Regional Party,71,PhD
216,Damyanti Bawa,INC,38,Postgraduate
217,Harish Naik,INC,54,Graduate
218,Ayushman Bakshi,Regional Party,73,Graduate
219,Krishna Narayan,Regional Party,53,12th Pass
220,Pranit Tandon,Independent,25,12th Pass
221,Yashawini Menon,INC,70,12th Pass
222,Chameli Magar,INC,49,12th Pass
223,Madhav Bhatt,BJP,30,12th Pass
224,Vihaan Dutta,AAP,68,12th Pass
225,Ganga Yogi,Independent,28,PhD
226,Panini Bhakta,AAP,63,PhD
227,Udyati Nayar,AAP,65,Graduate
228,Veda Dave,Independent,47,PhD
229,Wridesh Sachdeva,Independent,29,12th Pass
230,Pranav Ray,Independent,55,Graduate
231,Eiravati Dugar,Regional Party,59,12th Pass
232,Qabil Manne,Independent,47,PhD
233,Yauvani Sethi,BJP,40,Postgraduate
234,Naksh Nagar,BJP,73,Graduate
235,Balveer Manne,INC,64,PhD
236,Varsha Bhatnagar,AAP,39,PhD
237,Ekta Bhandari,Independent,71,Postgraduate
238,Krishna Sengupta,Independent,66,Graduate
239,Victor Kapur,BJP,66,Graduate
240,Lohit Dara,INC,60,Graduate
241,Samesh Subramaniam,Independent,70,Postgraduate
242,Gautami Goel,AAP,66,12th Pass
243,Rachit Karnik,Independent,65,Graduate
244,Warjas Venkatesh,BJP,72,Postgraduate
245,Anusha Shere,BJP,61,Graduate
246,Charita Iyer,BJP,74,PhD
247,Aadi Patla,Independent,52,Postgraduate
248,Faraj Baral,BJP,59,Postgraduate
249,Elijah Narain,Independent,67,PhD
250,Nandini Kaur,Regional Party,45,PhD
251,Vihaan Oza,AAP,26,12th Pass
252,Abdul Uppal,AAP,41,Postgraduate
253,Noah Varughese,BJP,66,12th Pass
254,Fitan Jayaraman,INC,65,PhD
255,Keya Tiwari,Independent,71,12th Pass
256,Bina Dara,AAP,60,PhD
257,Vincent Dyal,AAP,72,Graduate
258,Netra Bajaj,Regional Party,40,Postgraduate
259,Ekapad Bhagat,Independent,29,Graduate
260,Isaac Singhal,BJP,36,Postgraduate
261,Varsha Dhawan,Independent,27,Graduate
262,Wahab Bhalla,AAP,73,Graduate
263,Yatin Mistry,BJP,74,Postgraduate
264,Manbir Dube,BJP,29,Postgraduate
265,Ryan Amble,AAP,35,Postgraduate
266,Devika Master,Regional Party,45,PhD
267,Ojasvi Krishna,Regional Party,33,Postgraduate
268,Fiyaz Butala,INC,32,PhD
269,Tristan Bhatt,AAP,66,PhD
270,Qadim Andra,AAP,32,Graduate
271,Yamini Desai,Independent,27,PhD
272,Damyanti Bhat,Independent,72,PhD
273,Girik Borra,Regional Party,51,12th Pass
274,Xiti Palla,Regional Party,30,PhD
275,Vedhika Menon,Regional Party,26,Postgraduate
276,Oscar Roy,BJP,72,Graduate
277,Ekanta Nanda,AAP,68,Graduate
278,Aarini Bumb,INC,27,PhD
279,Nidra Sama,Independent,52,12th Pass
280,Balendra Tara,INC,55,PhD
281,Maya Chakrabarti,INC,33,Postgraduate
282,Triya Lad,Regional Party,68,12th Pass
283,Libni Saraf,AAP,35,12th Pass
284,Bakhshi Mane,AAP,58,12th Pass
285,Dalbir Manne,Regional Party,67,12th Pass
286,Thomas Chaudry,BJP,55,Postgraduate
287,Faris Korpal,AAP,36,PhD
288,Aarav Vora,INC,33,12th Pass
289,Chameli Varghese,AAP,59,Postgraduate
290,Manan Tailor,INC,47,Graduate
291,Ishwar Mani,Regional Party,74,12th Pass
292,Ekantika Munshi,BJP,72,12th Pass
293,Dalbir Vora,Independent,26,PhD
294,Warhi Sehgal,INC,54,PhD
295,Chandran Randhawa,INC,33,12th Pass
296,Omaja Bhandari,Independent,31,Postgraduate
297,Teerth Kapoor,BJP,25,PhD
298,Netra Keer,AAP,39,PhD
299,Zarna Doctor,AAP,47,12th Pass
300,Hredhaan Char,BJP,68,Graduate
301,Baljiwan Pingle,AAP,26,Postgraduate
302,Siddharth Singhal,AAP,49,Postgraduate
303,Dalbir Manne,BJP,51,12th Pass
304,Hiral Mangat,Regional Party,26,PhD
305,Lila Nagy,Regional Party,29,PhD
306,Pranit Sawhney,AAP,48,PhD
307,Zansi Mammen,AAP,32,Postgraduate
308,Chavvi Biswas,AAP,66,Postgraduate
309,Rajata Upadhyay,Regional Party,55,PhD
310,Onveer Nazareth,Independent,32,Graduate
311,Jagat Goyal,Regional Party,27,12th Pass
312,Chakradhar Sura,Independent,42,12th Pass
313,Indali Deo,AAP,64,Postgraduate
314,Chandran Peri,Independent,31,12th Pass
315,Barkha Prashad,Regional Party,63,PhD
316,Adweta Dave,Independent,52,PhD
317,Kala Grover,BJP,51,PhD
318,Sachi De,BJP,69,Graduate
319,Fariq Gopal,BJP,60,Postgraduate
320,Faqid Datta,Regional Party,41,Graduate
321,Ijaya Swamy,AAP,26,12th Pass
322,Samar Sundaram,Regional Party,59,PhD
323,Logan Sur,Regional Party,29,12th Pass
324,Anirudh Kara,Regional Party,64,Postgraduate
325,Orinder Ratta,AAP,31,12th Pass
326,Ayaan Madan,AAP,68,PhD
327,Geetika Luthra,INC,74,Postgraduate
328,Jai Sura,Regional Party,27,12th Pass
329,Nathaniel Doctor,Regional Party,27,12th Pass
330,Veda Dada,BJP,66,PhD
331,Triya Bora,Independent,49,Postgraduate
332,Ikbal Dutta,INC,50,Graduate
333,Tristan Panchal,INC,54,Graduate
334,Tanveer Dugar,Independent,41,12th Pass
335,Leela Banerjee,INC,39,Postgraduate
336,Qasim Kakar,Independent,73,Graduate
337,Chatura Acharya,Independent,57,Graduate
338,Gavin Khalsa,Independent,41,Graduate
339,Lekha Dey,BJP,32,Postgraduate
340,Amrita Char,Regional Party,60,PhD
341,Rajata Nadig,Independent,72,Postgraduate
342,William Viswanathan,BJP,26,Graduate
343,Ayush Puri,BJP,64,Graduate
344,Jeremiah Chada,Independent,69,Postgraduate
345,Yachana More,AAP,64,Postgraduate
346,Chameli Mander,INC,65,PhD
347,Qabil Kamdar,Independent,57,12th Pass
348,Vivaan Joshi,Independent,36,PhD
349,Tamanna Lad,AAP,56,12th Pass
350,Jonathan Upadhyay,Independent,71,Postgraduate
351,Warhi Deshpande,AAP,68,Graduate
352,Bahadurjit Khatri,INC,30,12th Pass
353,Odika Nazareth,BJP,38,12th Pass
354,Qarin Ben,Independent,51,PhD
355,Brinda Bhavsar,AAP,34,12th Pass
356,Geetika Ramakrishnan,INC,57,12th Pass
357,Wazir Jain,BJP,64,Postgraduate
358,Balendra Sarna,INC,57,Postgraduate
359,Oni Goel,AAP,40,Postgraduate
360,Riya Seth,AAP,59,PhD
361,Aradhana Dhar,INC,62,Postgraduate
362,Jai Buch,Regional Party,54,Postgraduate
363,Anmol Upadhyay,INC,33,Postgraduate
364,Champak Nayar,BJP,34,PhD
365,Aadhya Wadhwa,Independent,42,Postgraduate
366,Diya Magar,BJP,48,Postgraduate
367,Zarna Palla,Independent,39,Graduate
368,Champak Nagy,Independent,71,Postgraduate
369,Upkaar Sami,Independent,46,Graduate
370,Yagnesh Upadhyay,INC,47,Postgraduate
371,Jeet Savant,BJP,58,PhD
372,Arjun Dani,Regional Party,32,12th Pass
373,Jacob Sandhu,INC,42,Graduate
374,Charvi Dhar,INC,65,PhD
375,Isha Reddy,AAP,48,12th Pass
376,Bakhshi Srinivas,AAP,56,Postgraduate
377,Krishna Bir,Independent,62,12th Pass
378,Aditya Bobal,AAP,29,Graduate
379,Bhavna Lad,Regional Party,52,Postgraduate
380,Chasmum Kalla,Regional Party,53,Graduate
381,Januja Kala,AAP,56,Postgraduate
382,Priya Ahuja,AAP,30,12th Pass
383,Chakradev Bhandari,BJP,54,Postgraduate
384,Bakhshi Magar,INC,41,Postgraduate
385,Sarthak Raghavan,BJP,46,12th Pass
386,Anvi Bhalla,INC,54,12th Pass
387,Vrinda Mitter,Independent,69,12th Pass
388,Ira Nayar,Independent,29,Postgraduate
389,Ekaraj Prashad,INC,70,Graduate
390,Isaac Dugar,INC,45,Graduate
391,Ranbir Patla,Independent,71,Graduate
392,Kashish Dutt,Regional Party,31,Postgraduate
393,Madhavi Uppal,Independent,38,Graduate
394,Nisha Vohra,INC,62,PhD
395,Vinaya Kakar,Independent,29,PhD
396,Luke Sachdeva,Independent,31,Graduate
397,Aachal Raj,Independent,64,Postgraduate
398,Zashil Sibal,AAP,46,Postgraduate
399,Charita Gola,INC,35,Graduate
400,Theodore Misra,Regional Party,71,Graduate
401,Yug Sinha,Regional Party,29,12th Pass
402,Nimrat Chawla,BJP,64,PhD
403,Urvashi Sen,Independent,69,12th Pass
404,Balvan Prasad,INC,44,Postgraduate
405,Onkar Ghose,Independent,42,12th Pass
406,Owen Vasa,BJP,53,PhD
407,Yashasvi Aurora,INC,67,Postgraduate
408,Parth Babu,BJP,69,12th Pass
409,Zansi Chandran,INC,49,Graduate
410,Yachana Goel,INC,44,PhD
411,Gauri Tandon,AAP,71,PhD
412,Yasti Lal,Independent,44,Postgraduate
413,Shivani Dewan,AAP,64,12th Pass
414,Maanav Bath,BJP,30,12th Pass
415,Kalpit Rai,Regional Party,25,Graduate
416,Wyatt Gill,BJP,43,Postgraduate
417,Kashvi Bose,Independent,64,PhD
418,Harsh Naik,BJP,74,12th Pass
419,Wyatt Saxena,Regional Party,66,PhD
420,Jack Raval,Regional Party,55,Graduate
421,Chatresh Tandon,Independent,45,Graduate
422,Dominic Sandal,INC,31,Postgraduate
423,Vedant Khalsa,Independent,58,12th Pass
424,Jack Palan,Regional Party,53,Graduate
425,Xavier Mohan,AAP,41,PhD
426,Balveer Dar,BJP,70,PhD
427,Rachana Rajagopal,AAP,72,Graduate
428,Yamini Hegde,BJP,35,12th Pass
429,Urishilla Solanki,Regional Party,71,PhD
430,Sathvik Behl,Independent,41,PhD
431,Andrew Chokshi,BJP,44,Graduate
432,Max Wali,Independent,44,Postgraduate
433,Teerth Soman,INC,28,Postgraduate
434,Timothy Mahajan,Regional Party,48,PhD
435,Henry Magar,Regional Party,48,Postgraduate
436,Jyoti Kaur,Independent,74,PhD
437,Aradhana Yogi,AAP,65,Graduate
438,Yuvraj Rao,BJP,51,PhD
439,Qarin Brar,AAP,62,PhD
440,Lakshit Munshi,Regional Party,35,12th Pass
441,Kiaan Iyengar,Independent,36,12th Pass
442,Divya Iyer,INC,69,Postgraduate
443,Warda Pandit,Independent,42,Postgraduate
444,Gaurav Sarraf,INC,52,PhD
445,Quincy Shanker,Regional Party,26,Graduate
446,Gopal Mandal,AAP,52,Postgraduate
447,Laban Sen,Independent,38,Graduate
448,Lucky Basu,Regional Party,36,Graduate
449,Charan Bajwa,AAP,46,12th Pass
450,Ira Vig,Independent,46,Postgraduate
451,Omisha Wali,INC,58,PhD
452,Jairaj Parmar,Independent,55,Graduate
453,Christopher Chand,BJP,28,Postgraduate
454,Garima Majumdar,AAP,25,PhD
455,Jeet Dar,BJP,29,Postgraduate
456,Meera Prabhakar,AAP,42,Postgraduate
457,Yashvi Sunder,INC,33,PhD
458,Jagvi Dugar,Regional Party,51,12th Pass
459,Arjun Parsa,INC,50,12th Pass
460,Chasmum Pradhan,AAP,56,Postgraduate
461,Harish Sankar,Regional Party,36,PhD
462,Isaiah Narasimhan,Independent,39,Graduate
463,Upma Deshmukh,AAP,68,Postgraduate
464,Gayathri Dugar,Regional Party,59,PhD
465,Oviya Tailor,INC,74,Postgraduate
466,Praneel Sathe,Regional Party,70,Graduate
467,Rajata Savant,AAP,26,PhD
468,Hitesh Vala,INC,39,PhD
469,Ubika Oak,AAP,68,PhD
470,Divya Sura,AAP,38,PhD
471,Indrajit Hans,INC,25,Postgraduate
472,Faraj Mannan,Independent,32,PhD
473,Vihaan Tata,INC,40,Graduate
474,Indira Ghosh,AAP,38,Postgraduate
475,Ishanvi Kapoor,BJP,45,Graduate
476,Isaiah Prabhakar,Regional Party,55,12th Pass
477,Chaman Ram,INC,66,Postgraduate
478,Aishani Rana,BJP,42,Postgraduate
479,Radha Prakash,Independent,38,Graduate
480,Barkha Choudhury,Independent,72,Postgraduate
481,Janya Mohan,INC,29,Graduate
482,Mitali Venkatesh,BJP,42,Postgraduate
483,Zinal Sandal,BJP,29,Graduate
484,Gaurangi Rastogi,Regional Party,43,12th Pass
485,Amrita Mane,INC,37,PhD
486,Lipika Bumb,INC,41,PhD
487,Hemal Parmar,AAP,47,Graduate
488,Zarna Vora,AAP,71,12th Pass
489,Bimala Menon,Regional Party,74,Graduate
490,Logan Seth,INC,51,PhD
491,Dalbir Raja,Regional Party,53,Postgraduate
492,Sachi Bora,BJP,41,Postgraduate
493,Ranveer Reddy,INC,69,PhD
494,Chameli Sagar,Independent,74,PhD
495,Ekta Kalita,BJP,38,12th Pass
496,Banjeet Devan,AAP,40,Graduate
497,Jack Kapur,INC,62,12th Pass
498,Zashil Mody,BJP,31,Graduate
499,Jack Lala,INC,73,12th Pass
500,Om Bhardwaj,Independent,57,12th Pass
501,Panini Ratta,AAP,47,12th Pass
502,Alexander Biswas,Independent,38,Postgraduate
503,Azad Khurana,Regional Party,56,12th Pass
504,Nilima Merchant,Regional Party,61,PhD
505,Abeer Rao,Independent,25,Graduate
506,Lajita Sarna,Independent,54,12th Pass
507,Ekani Chatterjee,Regional Party,49,Postgraduate
508,Damini Mohan,INC,29,Postgraduate
509,Fiyaz Biswas,AAP,72,Graduate
510,Aadhya Mander,Regional Party,47,12th Pass
511,Rachana Jayaraman,Independent,49,PhD
512,Anthony Kothari,BJP,33,PhD
513,Pranit Rama,Regional Party,41,PhD
514,Champak Kannan,Independent,37,Graduate
515,Om Dora,INC,40,PhD
516,Unnati Parmar,Independent,73,PhD
517,Nidhi Parmar,INC,57,12th Pass
518,Kashvi Dar,Regional Party,25,Postgraduate
519,Pranav Johal,INC,35,Graduate
520,Jeet Murty,Independent,46,PhD
521,Akshay Chawla,BJP,32,Postgraduate
522,Gagan Mani,Regional Party,66,Postgraduate
523,Kashvi Shankar,Independent,25,Graduate
524,Ekantika Chahal,AAP,35,PhD
525,Nicholas Atwal,AAP,50,Graduate
526,Harrison Dubey,INC,28,Postgraduate
527,Urishilla Merchant,BJP,64,Graduate
528,Atharv Balan,AAP,41,Postgraduate
529,Pratyush Raman,AAP,36,Postgraduate
530,Daksha Iyengar,Independent,42,PhD
531,Anvi Chaudhari,INC,35,12th Pass
532,Inaya Sankaran,Independent,54,Graduate
533,Ishwar Dubey,Regional Party,29,12th Pass
534,Robert Natarajan,Regional Party,64,Postgraduate
535,Samar Sur,Regional Party,33,12th Pass
536,Raksha D’Alia,BJP,49,Postgraduate
537,Widisha Balan,INC,58,12th Pass
538,Odika Ahluwalia,AAP,44,12th Pass
539,Charan Basu,AAP,65,PhD
540,Jeevika Kadakia,Regional Party,37,Postgraduate
541,Lajita Peri,INC,42,PhD
542,Jagrati Bumb,BJP,35,12th Pass
543,Noah Goda,AAP,57,Postgraduate
544,Oviya Iyer,Regional Party,72,PhD
545,Fitan Kaur,INC,34,Postgraduate
546,Advay Dewan,Independent,54,Postgraduate
547,Indrajit Varghese,Independent,48,12th Pass
548,Samesh Jhaveri,BJP,74,Postgraduate
549,Tejas Dar,AAP,33,12th Pass
550,Bishakha Sarraf,Independent,51,12th Pass
551,Hemal Dhillon,Regional Party,38,12th Pass
552,Ikbal Gupta,INC,72,Postgraduate
553,Yagnesh Golla,BJP,37,12th Pass
554,Timothy Baral,Regional Party,58,12th Pass
555,William Lala,Independent,56,Postgraduate
556,Indira Deshpande,BJP,70,PhD
557,Gaurika Saha,Independent,40,12th Pass
558,Samesh Patla,BJP,71,Postgraduate
559,Anjali Jain,INC,47,12th Pass
560,Peter Shan,INC,46,Postgraduate
561,Samuel Narayanan,BJP,33,Postgraduate
562,Jagrati Grover,BJP,37,12th Pass
563,Oliver Borra,INC,66,PhD
564,Ikbal Oak,Independent,35,Graduate
565,Ekalinga Sarkar,INC,60,Graduate
566,Warda Char,Regional Party,44,Postgraduate
567,Ranveer Kaul,AAP,59,Postgraduate
568,Om Lad,Regional Party,29,12th Pass
569,Harshil Rajan,Regional Party,46,Postgraduate
570,Yadavi Goel,Independent,61,PhD
571,Zarna Shere,AAP,32,PhD
572,Triya Yohannan,BJP,25,PhD
573,Vincent Thakur,AAP,31,Postgraduate
574,Pushti Rajan,INC,45,Postgraduate
575,Abdul Chhabra,BJP,67,Graduate
576,Bakhshi Chhabra,Independent,52,PhD
577,Vasatika Peri,AAP,68,PhD
578,Dominic Das,INC,57,12th Pass
579,Anya Zachariah,BJP,70,Postgraduate
580,Rohan Shere,Regional Party,69,Postgraduate
581,Vrishti Koshy,Regional Party,30,Postgraduate
582,Nandini Contractor,Independent,51,Graduate
583,Mekhala Murthy,Independent,42,12th Pass
584,Eta Sampath,INC,67,Graduate
585,Yashvi Vig,BJP,74,Postgraduate
586,Eta Basu,BJP,45,Graduate
587,Farhan Srinivas,Regional Party,38,PhD
588,Forum Tandon,AAP,25,12th Pass
589,Oscar Dhillon,INC,35,Postgraduate
590,Chanakya Manda,BJP,43,Graduate
591,Tarak Sethi,Independent,49,Graduate
592,Darsh Ramakrishnan,Independent,71,12th Pass
593,Vritti Varghese,AAP,43,PhD
594,Aradhana Boase,BJP,60,PhD
595,Krish Kannan,AAP,55,12th Pass
596,Aadi Sanghvi,INC,29,12th Pass
597,Upma Boase,AAP,41,PhD
598,Jagdish Krishnamurthy,Independent,51,12th Pass
599,Prisha Ram,AAP,73,Graduate
600,Samaksh Sibal,Independent,45,Postgraduate
601,Kamala Varma,Independent,47,Postgraduate
602,Chameli Narain,BJP,55,Postgraduate
603,Lavanya Jha,INC,66,12th Pass
604,Advaith Kapoor,Regional Party,30,12th Pass
605,Rishi Kapur,Regional Party,53,Postgraduate
606,Jagrati Mand,Regional Party,38,PhD
607,Abhimanyu Joshi,INC,51,Postgraduate
608,Gaurav Dasgupta,AAP,54,12th Pass
609,Kevin Sarin,Regional Party,48,Postgraduate
610,Laksh Kumar,INC,45,PhD
611,Zansi Shankar,INC,36,Postgraduate
612,Netra Nadkarni,BJP,68,PhD
613,Gabriel Batra,Regional Party,68,Postgraduate
