campaign_id,party,state,spend,date
66,INC,Tamil Nadu,8685728.62,2025-04-14
67,Regional Party,Tamil Nadu,9574293.22,2025-10-16
68,AAP,UP,8114173.64,2025-07-26
69,BJP,Bihar,295864.77,2025-12-28
70,AAP,Tamil Nadu,4865512.53,2026-03-16
71,BJP,Bihar,1755646.42,2025-08-04
72,INC,Tamil Nadu,144120.9,2026-03-17
73,Regional Party,Maharashtra,403321.91,2025-11-07
74,Regional Party,Maharashtra,136957.79,2026-01-16
75,BJP,Tamil Nadu,3893083.91,2025-05-18
76,AAP,Tamil Nadu,9691225.94,2025-08-14
77,Regional Party,Bihar,1373699.53,2025-07-09
78,INC,Maharashtra,7894649.29,2025-05-08
79,AAP,Bihar,2059595.73,2025-06-07
80,INC,UP,5170803.69,2025-03-31
81,BJP,UP,3457151.5,2026-01-14
82,BJP,Tamil Nadu,9669885.79,2025-09-18
83,BJP,Maharashtra,9209795.58,2025-05-27
84,INC,Maharashtra,5750941.14,2026-01-18
85,AAP,UP,5901557.63,2025-05-22
86,AAP,Bihar,445556.0,2026-02-11
87,AAP,Tamil Nadu,5156355.16,2025-10-30
88,Regional Party,Bihar,2103404.02,2025-08-23
89,AAP,UP,9603969.16,2025-09-27
90,AAP,Tamil Nadu,627123.68,2025-06-17
91,BJP,Tamil Nadu,4262493.37,2026-01-23
92,AAP,UP,4939797.06,2025-10-25
93,INC,UP,5966414.13,2025-05-12
94,Regional Party,Bihar,1377367.9,2025-12-30
95,INC,Maharashtra,1995525.18,2025-05-12
96,BJP,UP,2920754.08,2025-03-30
97,Regional Party,Tamil Nadu,-1000.0,2025-04-14
98,Regional Party,UP,2262451.88,2025-10-01
99,BJP,UP,1174479.08,2025-07-26
100,BJP,Maharashtra,4191890.39,2025-08-08
101,BJP,UP,6578043.96,2025-09-14
102,Regional Party,Maharashtra,2569590.73,2025-04-06
103,BJP,Tamil Nadu,2557897.45,2025-08-11
104,Regional Party,UP,7163757.17,2025-11-16
105,Regional Party,UP,2192024.57,2025-08-25
106,AAP,UP,1632842.56,2025-04-12
107,BJP,Maharashtra,3555104.46,2025-05-03
108,Regional Party,Bihar,5595322.69,2026-03-16
109,BJP,Maharashtra,1698433.32,2026-02-10
110,Regional Party,Tamil Nadu,2750774.17,2025-07-17
111,BJP,Tamil Nadu,9602968.87,2025-05-21
112,AAP,Tamil Nadu,8174927.34,2026-01-07
113,Regional Party,UP,6239482.24,2026-02-24
114,Regional Party,Maharashtra,2016270.36,2025-10-13
115,INC,UP,3346045.26,2025-08-15
116,AAP,UP,9687145.15,2025-10-12
117,AAP,UP,4936670.27,2025-08-17
118,INC,Tamil Nadu,9069466.35,2025-09-14
119,BJP,UP,810256.0,2025-07-19
120,BJP,Bihar,5193704.05,2025-05-24
121,BJP,Maharashtra,8371154.39,2025-05-09
122,Regional Party,UP,3736481.73,2026-02-02
123,INC,UP,9416352.71,2026-02-06
124,INC,UP,692103.53,2025-05-25
125,AAP,Maharashtra,6452035.47,2025-09-09
126,AAP,Maharashtra,5401335.91,2025-05-23
127,INC,Maharashtra,741174.44,2025-05-25
128,AAP,Tamil Nadu,9119426.26,2025-04-23
129,INC,Maharashtra,1485145.73,2026-02-28
130,BJP,UP,7068512.63,2025-12-24
131,Regional Party,UP,1555972.75,2025-08-31
132,AAP,UP,8107087.99,2025-08-06
133,Regional Party,Maharashtra,4066780.43,2025-11-27
134,BJP,Maharashtra,192078.47,2025-08-15
135,INC,Bihar,6825280.92,2025-10-01
136,Regional Party,Bihar,4624988.31,2025-07-06
137,BJP,Tamil Nadu,322345.68,2025-09-02
138,INC,Maharashtra,3301263.26,2025-04-28
139,AAP,Tamil Nadu,9650758.3,2026-02-15
140,Regional Party,UP,4230447.68,2025-09-26
141,Regional Party,Bihar,-1000.0,2025-04-07
142,INC,Tamil Nadu,3725659.65,2025-05-17
143,Regional Party,Maharashtra,7287963.28,2025-11-25
144,INC,UP,1654955.97,2025-05-21
145,Regional Party,Maharashtra,1882827.87,2025-10-09
146,BJP,Maharashtra,5377142.09,2025-09-01
147,INC,UP,9170716.11,2025-07-23
148,BJP,Maharashtra,5692462.99,2026-03-05
149,Regional Party,Maharashtra,3914864.92,2026-02-02
150,AAP,UP,6093283.08,2025-06-28
151,Regional Party,UP,983622.25,2026-03-02
152,INC,Bihar,3214224.51,2025-11-17
153,Regional Party,Tamil Nadu,2095665.19,2025-10-18
154,BJP,Tamil Nadu,5680341.02,2025-10-22
155,BJP,Maharashtra,-1000.0,2025-12-27
156,Regional Party,Bihar,3886675.14,2025-08-08
157,INC,Maharashtra,3156462.88,2025-10-05
158,Regional Party,Maharashtra,2308009.75,2026-01-21
159,BJP,Bihar,5287814.15,2025-11-21
160,INC,UP,3686237.5,2026-01-05
161,Regional Party,Tamil Nadu,-1000.0,2025-04-23
162,AAP,UP,6012955.52,2025-11-13
163,AAP,Bihar,1139667.17,2026-02-13
164,AAP,UP,3883607.3,2025-11-26
165,AAP,UP,1801806.98,2026-02-23
166,INC,UP,8758275.79,2025-09-30
167,Regional Party,Tamil Nadu,8567633.87,2025-12-11
168,INC,UP,4886303.22,2025-08-01
169,AAP,Bihar,584371.27,2025-10-07
170,AAP,Bihar,9211880.61,2025-12-25
171,AAP,Bihar,7371868.97,2026-01-29
172,Regional Party,Bihar,7189815.52,2025-05-12
173,Regional Party,Bihar,7088971.69,2025-05-21
174,Regional Party,UP,5285102.78,2025-11-16
175,AAP,Bihar,-1000.0,2025-06-29
176,INC,Tamil Nadu,1464111.93,2025-11-13
177,Regional Party,Tamil Nadu,5052632.84,2025-12-19
178,AAP,Bihar,5213109.92,2025-05-01
179,BJP,Tamil Nadu,1043004.63,2025-10-09
180,Regional Party,UP,2617260.5,2026-02-16
181,BJP,Bihar,4488435.06,2025-12-25
182,Regional Party,Bihar,8503051.57,2025-11-03
183,INC,UP,9731489.62,2025-06-29
184,INC,Maharashtra,2634699.61,2025-10-29
185,INC,Maharashtra,2918090.77,2025-07-31
186,BJP,UP,1050840.99,2025-05-16
187,Regional Party,Tamil Nadu,9958925.14,2025-07-30
188,INC,Maharashtra,2997928.15,2026-01-20
189,INC,Maharashtra,-1000.0,2025-11-22
190,BJP,Maharashtra,4374887.37,2025-10-16
191,Regional Party,Tamil Nadu,9491138.15,2025-07-22
192,Regional Party,Bihar,1358001.65,2025-09-24
193,BJP,Tamil Nadu,9199078.24,2026-02-03
194,BJP,UP,5680332.64,2025-12-10
195,BJP,Bihar,4621998.27,2025-08-07
196,BJP,Maharashtra,4032900.17,2025-11-14
197,BJP,Bihar,677923.39,2025-05-13
198,INC,Bihar,4380645.82,2026-03-12
199,Regional Party,UP,9301165.3,2025-06-28
200,BJP,Tamil Nadu,6294246.34,2025-09-03
201,Regional Party,Maharashtra,196738.91,2025-07-25
202,INC,UP,3259242.68,2025-05-16
203,Regional Party,UP,5597834.92,2025-09-08
204,Regional Party,Bihar,2841737.56,2026-03-09
205,Regional Party,Tamil Nadu,7820676.7,2025-05-05
206,BJP,Bihar,-1000.0,2025-09-16
207,AAP,UP,9074620.67,2025-07-04
208,Regional Party,Bihar,3233771.93,2025-11-14
209,BJP,Maharashtra,2524899.64,2025-05-28
210,BJP,Maharashtra,8466140.2,2026-01-08
211,INC,Maharashtra,3608782.31,2025-09-21
212,AAP,UP,5305536.81,2026-03-29
213,Regional Party,Tamil Nadu,3082361.0,2025-12-27
214,INC,UP,3612181.06,2026-03-24
215,INC,Tamil Nadu,5377318.44,2025-04-24
216,INC,Maharashtra,7142541.57,2025-10-06
217,Regional Party,UP,7104909.11,2025-06-09
218,INC,Maharashtra,3763555.41,2026-02-16
219,INC,Tamil Nadu,8490305.44,2025-11-07
220,AAP,Maharashtra,6122509.18,2025-10-16
221,INC,Tamil Nadu,5882989.71,2025-05-03
222,AAP,UP,2838134.63,2025-05-06
223,AAP,Bihar,8649093.47,2025-05-31
224,BJP,Tamil Nadu,2015226.7,2025-09-05
225,INC,Maharashtra,1693745.7,2025-06-20
226,Regional Party,UP,1049260.02,2025-07-25
227,INC,Maharashtra,8888052.12,2026-03-30
228,INC,Tamil Nadu,3482319.74,2025-06-13
229,BJP,Bihar,5503510.36,2025-10-17
230,INC,UP,4643363.09,2025-07-13
231,BJP,Tamil Nadu,4186155.7,2025-08-17
232,INC,UP,4606558.16,2025-10-26
233,BJP,UP,4379702.72,2025-12-24
234,Regional Party,Tamil Nadu,4018528.08,2025-05-15
235,BJP,Tamil Nadu,4148537.73,2025-06-10
236,Regional Party,Bihar,6590083.84,2025-10-26
237,BJP,Maharashtra,9866848.59,2025-09-14
238,AAP,Tamil Nadu,7240412.25,2025-12-21
239,Regional Party,Maharashtra,9152021.75,2025-09-12
240,BJP,Maharashtra,875850.19,2025-04-12
241,INC,Maharashtra,1782580.55,2025-12-09
242,Regional Party,Tamil Nadu,6903540.69,2025-08-31
243,INC,Maharashtra,8344839.83,2025-12-17
244,Regional Party,Tamil Nadu,5823856.02,2025-07-12
245,Regional Party,Tamil Nadu,503226.6,2026-01-21
246,INC,Maharashtra,6807733.66,2025-12-18
247,Regional Party,Bihar,3346035.09,2025-04-17
248,BJP,Maharashtra,3623032.8,2025-11-07
249,AAP,UP,1003976.45,2026-02-23
250,AAP,UP,2543686.21,2025-05-31
251,BJP,Bihar,5746097.19,2025-05-21
252,AAP,Bihar,7715724.71,2026-01-12
253,AAP,UP,3079852.57,2025-04-06
254,INC,Maharashtra,9184416.22,2026-01-13
255,Regional Party,Maharashtra,264078.55,2026-01-28
256,Regional Party,Tamil Nadu,7353587.32,2025-11-21
257,INC,Tamil Nadu,4138170.37,2025-04-17
258,Regional Party,Bihar,9918575.94,2026-02-28
259,AAP,UP,237126.6,2026-03-15
260,Regional Party,Maharashtra,8226933.75,2025-11-14
261,INC,Bihar,4044049.18,2026-03-25
262,Regional Party,Tamil Nadu,6815459.86,2025-04-01
263,INC,UP,6096327.06,2025-11-13
264,INC,UP,7927381.59,2025-11-08
265,AAP,UP,1586891.53,2025-08-03
266,AAP,Bihar,4452904.12,2025-10-20
267,AAP,Maharashtra,5416327.64,2025-07-31
268,INC,Tamil Nadu,5097561.24,2025-04-03
269,INC,Tamil Nadu,5170451.08,2025-08-26
270,AAP,Maharashtra,2442091.62,2025-07-04
271,Regional Party,UP,3110037.83,2025-11-02
272,INC,Bihar,1628971.98,2026-03-18
273,BJP,UP,937097.62,2026-03-22
274,BJP,UP,9479176.25,2025-09-04
275,INC,Maharashtra,682142.64,2025-11-12
276,INC,Tamil Nadu,1865840.44,2025-12-21
277,INC,Tamil Nadu,2905973.21,2025-07-19
278,AAP,Bihar,6117982.32,2026-02-17
279,Regional Party,Maharashtra,5740800.03,2025-05-13
280,Regional Party,UP,6261556.14,2026-01-13
281,BJP,Tamil Nadu,9913546.4,2025-07-28
282,AAP,Tamil Nadu,3221968.75,2025-12-27
283,BJP,Bihar,4057839.54,2025-11-11
284,INC,Maharashtra,6204391.47,2026-01-14
285,AAP,Bihar,1803257.98,2026-02-07
286,Regional Party,UP,3924214.16,2026-03-30
287,INC,Bihar,8829853.14,2025-04-25
288,BJP,Maharashtra,5290934.32,2025-09-10
289,Regional Party,Maharashtra,6404732.89,2025-12-01
290,Regional Party,Maharashtra,5777893.4,2025-04-17
291,INC,Maharashtra,9259313.37,2026-01-12
292,BJP,Maharashtra,7664630.02,2026-01-18
293,Regional Party,Maharashtra,8401510.62,2025-06-09
294,Regional Party,UP,7127386.77,2025-08-11
295,Regional Party,Maharashtra,1349617.08,2025-05-29
296,BJP,Bihar,3601439.98,2026-02-07
297,INC,Tamil Nadu,886015.93,2025-04-29
298,Regional Party,Tamil Nadu,2157958.17,2025-11-20
299,INC,Maharashtra,9057677.63,2026-03-11
300,AAP,Tamil Nadu,1053473.55,2025-04-11
301,AAP,Bihar,2497697.61,2025-04-12
302,AAP,Maharashtra,1174059.25,2026-01-24
303,BJP,Bihar,3444819.53,2025-11-22
304,BJP,UP,32887.78,2025-07-08
305,AAP,UP,4844212.7,2025-04-24
306,INC,Tamil Nadu,6333873.64,2025-06-26
307,AAP,Maharashtra,7082055.43,2025-10-07
308,Regional Party,Maharashtra,6009235.4,2025-09-29
309,Regional Party,Tamil Nadu,455599.94,2025-11-23
310,Regional Party,Bihar,1012831.29,2025-05-25
311,INC,Bihar,8649794.71,2026-03-06
312,INC,Maharashtra,5313900.8,2026-03-28
313,BJP,Bihar,7791476.9,2025-12-16
314,AAP,UP,6523832.4,2026-03-26
315,INC,Bihar,4140875.15,2025-04-27
316,BJP,Maharashtra,159902.61,2025-04-19
317,AAP,Bihar,7474540.36,2025-10-31
318,AAP,Maharashtra,8074086.85,2025-05-02
319,Regional Party,Tamil Nadu,2865840.24,2025-10-21
320,AAP,Maharashtra,2898559.25,2026-03-04
321,Regional Party,UP,2527454.99,2025-10-16
322,Regional Party,UP,8148876.92,2025-10-23
323,Regional Party,Maharashtra,9762763.05,2025-07-07
324,BJP,Maharashtra,2235739.18,2025-05-14
325,Regional Party,UP,8486710.11,2025-07-09
326,BJP,Bihar,7333056.3,2025-07-08
327,INC,UP,5807842.53,2025-08-20
328,Regional Party,Tamil Nadu,416368.49,2025-11-22
329,INC,UP,2339904.45,2025-06-24
330,Regional Party,Bihar,3521947.26,2025-06-13
331,AAP,Tamil Nadu,5933308.68,2025-05-08
332,INC,Bihar,8938810.82,2025-12-24
333,INC,Tamil Nadu,6672611.01,2026-02-04
334,BJP,Maharashtra,9452243.0,2025-09-10
335,BJP,Bihar,7214071.15,2025-11-21
336,INC,UP,2433834.0,2025-12-16
337,Regional Party,Tamil Nadu,729070.86,2025-07-27
338,Regional Party,UP,962874.28,2025-06-22
339,Regional Party,Bihar,7157189.95,2025-05-12
340,INC,Maharashtra,8119467.07,2025-11-28
341,Regional Party,Tamil Nadu,4585629.7,2026-01-30
342,AAP,Maharashtra,6790939.99,2025-08-29
343,INC,Maharashtra,7356539.26,2025-08-13
344,Regional Party,Maharashtra,8432592.2,2025-12-03
345,AAP,Bihar,976407.08,2025-11-18
346,AAP,Bihar,7765671.27,2025-11-18
347,INC,Bihar,6242804.84,2026-01-24
348,INC,Tamil Nadu,6476145.13,2025-11-07
349,INC,Bihar,8289141.53,2025-08-16
350,BJP,Maharashtra,1793131.73,2026-01-20
351,AAP,Bihar,3639563.0,2025-06-03
352,BJP,UP,8012576.77,2025-08-16
353,INC,Bihar,3691274.81,2025-12-29
354,AAP,Maharashtra,3059368.55,2025-06-23
355,Regional Party,Maharashtra,1048737.47,2025-09-23
356,AAP,Bihar,3775885.21,2026-03-07
357,INC,Tamil Nadu,2137551.2,2026-01-20
358,AAP,UP,2519867.54,2025-05-12
359,BJP,UP,8892430.22,2026-01-29
360,BJP,Maharashtra,9603205.63,2026-03-27
361,Regional Party,Bihar,9393940.91,2025-10-30
362,BJP,Maharashtra,2103421.75,2025-06-30
363,INC,Maharashtra,5045413.96,2025-05-02
364,BJP,UP,5502908.6,2025-09-09
365,Regional Party,UP,1494051.01,2025-05-03
366,INC,Maharashtra,3259910.81,2025-06-22
367,BJP,UP,8821162.49,2025-05-16
368,Regional Party,Maharashtra,2562255.21,2025-06-08
369,BJP,UP,5409576.39,2025-07-10
370,BJP,Tamil Nadu,3619893.06,2025-05-21
371,BJP,Maharashtra,2923610.68,2025-11-25
372,INC,Tamil Nadu,883606.86,2025-09-04
373,Regional Party,Maharashtra,5726852.78,2025-07-29
374,AAP,Tamil Nadu,1638231.39,2025-06-06
375,BJP,Tamil Nadu,3339257.98,2026-03-12
376,BJP,Maharashtra,7509770.32,2025-12-17
377,INC,UP,2037596.53,2026-03-09
378,BJP,Tamil Nadu,2454227.78,2026-02-14
379,AAP,Tamil Nadu,2722844.84,2025-09-21
380,Regional Party,UP,8711745.77,2026-03-17
381,BJP,Maharashtra,4279912.56,2026-03-26
382,INC,Tamil Nadu,7371971.94,2025-06-01
383,AAP,UP,5112562.87,2025-11-19
384,AAP,Tamil Nadu,2092639.09,2025-07-30
385,BJP,Maharashtra,8211663.54,2025-09-29
386,Regional Party,Tamil Nadu,5338941.3,2025-09-19
387,BJP,Bihar,4176319.29,2026-02-10
388,INC,Maharashtra,8350600.95,2026-03-12
389,Regional Party,Tamil Nadu,7131042.55,2025-11-11
390,AAP,UP,1758286.94,2025-09-20
391,BJP,UP,6412441.69,2025-10-17
392,BJP,UP,3858669.61,2025-11-11
393,INC,Bihar,5560183.6,2025-04-17
394,BJP,Tamil Nadu,5969165.36,2025-05-12
395,AAP,Maharashtra,9504107.8,2025-07-12
396,Regional Party,UP,4829757.48,2025-07-13
397,BJP,Bihar,1026994.77,2025-08-09
398,INC,UP,9437502.81,2026-01-04
399,AAP,UP,7669369.54,2026-03-28
400,BJP,Bihar,5119916.04,2025-05-29
401,INC,Tamil Nadu,2885708.29,2025-10-08
402,INC,UP,7219192.14,2025-08-09
403,Regional Party,UP,581355.43,2025-11-19
404,Regional Party,UP,1918154.51,2025-06-18
405,BJP,Tamil Nadu,5824063.36,2026-03-04
406,AAP,UP,1880517.97,2025-12-25
407,AAP,UP,5621133.74,2026-01-03
408,INC,Tamil Nadu,9278416.65,2025-06-13
409,INC,Maharashtra,5900892.83,2025-09-03
410,AAP,Maharashtra,989764.08,2025-05-10
411,AAP,UP,7381348.16,2025-05-23
412,AAP,Maharashtra,6330719.39,2025-08-09
413,AAP,UP,8929092.0,2025-03-31
414,AAP,Bihar,6367518.57,2025-05-14
415,AAP,UP,4094896.4,2025-07-19
416,AAP,Tamil Nadu,9314987.14,2026-03-30
417,Regional Party,UP,7273801.18,2026-03-13
418,AAP,Tamil Nadu,4767080.14,2025-10-03
419,AAP,Maharashtra,7350376.27,2025-05-29
420,Regional Party,UP,9545476.99,2026-01-07
421,BJP,Maharashtra,8512126.89,2025-11-07
422,Regional Party,Maharashtra,7304636.03,2025-08-01
423,INC,Tamil Nadu,979913.89,2025-04-21
424,AAP,Maharashtra,1287222.03,2025-12-19
425,INC,Tamil Nadu,2360717.87,2026-02-03
426,AAP,Maharashtra,860793.71,2025-12-25
427,BJP,Tamil Nadu,8775616.19,2025-10-20
428,AAP,Tamil Nadu,8403820.99,2025-11-06
429,Regional Party,Tamil Nadu,7082704.2,2025-04-12
430,INC,Maharashtra,4295868.08,2026-02-21
431,BJP,UP,3182167.55,2025-12-15
432,Regional Party,UP,1141041.89,2025-11-17
433,INC,Tamil Nadu,3554676.49,2025-07-30
434,INC,UP,5872592.91,2025-08-09
435,BJP,UP,-1000.0,2026-01-06
436,Regional Party,Maharashtra,1977249.82,2026-02-13
437,BJP,Tamil Nadu,1807700.86,2026-01-21
438,Regional Party,UP,2080512.8,2025-08-14
439,BJP,Tamil Nadu,576576.15,2025-11-17
440,BJP,UP,7786815.65,2025-12-15
441,Regional Party,UP,7696336.12,2025-08-12
442,INC,Bihar,3902816.38,2025-06-14
443,AAP,Bihar,2651910.09,2026-02-08
444,BJP,UP,8360768.41,2026-01-05
445,Regional Party,UP,5641257.4,2025-10-02
446,BJP,Tamil Nadu,6815872.91,2026-02-17
447,INC,Bihar,4714623.93,2025-12-08
448,AAP,Tamil Nadu,6271955.24,2025-06-05
449,Regional Party,Tamil Nadu,2098298.17,2025-09-13
450,Regional Party,UP,9242960.26,2025-09-23
451,AAP,Maharashtra,5430732.16,2025-05-05
452,AAP,Tamil Nadu,1593483.65,2025-04-07
453,AAP,Tamil Nadu,2978211.46,2026-01-12
454,INC,Maharashtra,956548.94,2025-08-23
455,Regional Party,Maharashtra,6920685.84,2025-08-31
456,INC,Tamil Nadu,-1000.0,2025-07-27
457,Regional Party,Maharashtra,3613703.14,2025-07-30
458,Regional Party,Maharashtra,6193437.23,2025-08-03
459,Regional Party,UP,1883613.17,2025-09-15
460,BJP,Tamil Nadu,3278970.6,2025-06-13
461,INC,Maharashtra,6489039.07,2025-09-13
462,BJP,UP,7460810.7,2025-04-29
463,INC,UP,1986590.19,2025-07-09
464,AAP,Bihar,5923443.76,2025-12-06
465,Regional Party,Tamil Nadu,1244765.85,2025-05-15
466,AAP,UP,1285648.47,2025-05-11
467,BJP,Bihar,8661489.66,2025-05-26
468,AAP,Tamil Nadu,8927214.01,2026-03-02
469,INC,Bihar,6106087.49,2025-06-17
470,AAP,Maharashtra,2631915.18,2025-09-05
471,AAP,Maharashtra,3484749.61,2025-06-25
472,AAP,Maharashtra,8739351.81,2025-08-28
473,BJP,Bihar,9651840.63,2025-08-03
474,Regional Party,UP,116320.6,2025-09-01
475,BJP,Bihar,5068843.37,2025-04-08
476,BJP,UP,3586841.06,2025-07-29
477,BJP,UP,5101882.69,2025-09-21
478,INC,UP,5571029.12,2025-11-03
479,Regional Party,Tamil Nadu,8910751.69,2026-01-07
480,INC,Tamil Nadu,1070889.01,2026-02-19
481,INC,Tamil Nadu,466585.2,2025-08-03
482,AAP,UP,6389790.56,2025-10-06
483,BJP,Maharashtra,916354.31,2025-12-18
484,INC,Maharashtra,5320374.53,2025-10-15
485,BJP,UP,1086889.77,2026-03-17
486,BJP,Bihar,7745048.07,2025-06-09
487,Regional Party,Maharashtra,5822881.76,2025-09-13
488,BJP,Maharashtra,5219997.67,2025-04-21
489,INC,Tamil Nadu,5932757.28,2025-11-16
490,AAP,Maharashtra,6917065.36,2025-09-24
491,Regional Party,Maharashtra,7926145.5,2025-05-14
492,INC,Maharashtra,776446.76,2025-06-27
493,BJP,Bihar,7685940.59,2025-05-04
494,BJP,Bihar,781172.45,2025-05-14
495,Regional Party,Bihar,7603912.98,2025-05-12
496,INC,Bihar,2646890.13,2025-06-04
497,BJP,Tamil Nadu,8013259.9,2025-06-06
498,BJP,Maharashtra,4752539.8,2025-07-04
499,AAP,Maharashtra,3315394.56,2026-01-29
500,BJP,Tamil Nadu,1702928.45,2025-06-24
501,AAP,Bihar,5974282.79,2025-12-08
502,INC,Tamil Nadu,-1000.0,2025-12-24
503,INC,Maharashtra,7892991.91,2026-02-25
504,AAP,Tamil Nadu,8971124.15,2025-11-08
505,INC,UP,6309902.9,2026-01-02
506,AAP,Maharashtra,5471053.63,2025-12-28
507,INC,Bihar,9738166.16,2025-07-06
508,INC,Tamil Nadu,3753986.35,2025-07-30
509,INC,Bihar,9417604.84,2026-01-07
510,INC,Tamil Nadu,918704.49,2026-03-22
511,BJP,Tamil Nadu,8377126.16,2025-11-14
512,Regional Party,Maharashtra,9414477.65,2025-08-26
513,AAP,Bihar,-1000.0,2025-08-17
514,AAP,Tamil Nadu,1183375.73,2025-12-25
515,AAP,Bihar,1201063.62,2025-09-10
516,BJP,Maharashtra,7548953.47,2025-12-25
517,BJP,UP,6895146.61,2025-08-01
518,AAP,Maharashtra,2624451.5,2025-07-24
519,BJP,Tamil Nadu,6974907.95,2026-01-13
520,BJP,Bihar,8179241.77,2025-10-30
521,Regional Party,UP,1499163.29,2025-05-28
522,INC,Tamil Nadu,6100629.84,2026-01-05
523,AAP,UP,8688664.28,2025-06-08
524,BJP,UP,7848346.76,2025-09-15
525,INC,Tamil Nadu,5361574.52,2025-10-29
526,AAP,Maharashtra,4287745.46,2025-08-31
527,INC,UP,3298604.57,2025-10-03
528,INC,Tamil Nadu,9526117.47,2026-03-19
529,Regional Party,UP,2195723.47,2025-12-26
530,BJP,Maharashtra,8499787.17,2025-10-24
531,Regional Party,Bihar,8416693.58,2025-10-23
532,Regional Party,UP,3977327.81,2026-01-30
533,INC,Tamil Nadu,8902155.33,2026-01-05
534,Regional Party,UP,1117144.69,2025-06-23
535,Regional Party,Tamil Nadu,2713257.28,2025-08-22
536,BJP,Bihar,9085292.32,2026-03-17
537,BJP,Bihar,4919667.64,2026-03-02
538,AAP,Tamil Nadu,9499894.78,2025-12-08
539,BJP,Tamil Nadu,1854501.73,2025-04-09
540,INC,UP,2275461.07,2026-02-27
541,INC,Bihar,7500104.28,2025-09-28
542,AAP,UP,2001839.06,2025-04-29
543,AAP,Tamil Nadu,722775.6,2025-08-19
544,Regional Party,Tamil Nadu,5045687.78,2025-12-14
545,BJP,Tamil Nadu,5282014.61,2025-06-29
546,AAP,Maharashtra,4287415.5,2025-12-05
547,BJP,UP,4890083.36,2025-07-07
548,BJP,Tamil Nadu,8537210.13,2025-07-28
549,INC,Bihar,344333.42,2026-01-07
550,INC,Maharashtra,4711604.23,2026-03-18
551,INC,Maharashtra,3041596.08,2025-04-29
552,INC,UP,5426021.02,2026-02-11
553,AAP,UP,1446437.46,2025-12-14
554,AAP,UP,2339795.61,2026-03-03
555,Regional Party,Tamil Nadu,2106010.87,2025-06-01
